Sex,Year,Source,MortalityType,Value,Target,Bridge
Male,2002,Total,"Malignant neoplasms of trachea, bronchus, lung",365135.4878,Neoplasms,Malignant neoplasms
Male,2014,Total,Acute myocardial infarction,365026.0612,Diseases of the circulatory system,Diseases of the circulatory system
Female,2014,Total,Diseases of the respiratory system,365014.8351,Diseases of the respiratory system,Other
Female,2018,Total,Ischaemic heart diseases,364955.4717,Diseases of the circulatory system,Diseases of the circulatory system
Male,2015,Total,Acute myocardial infarction,364951.6368,Diseases of the circulatory system,Diseases of the circulatory system
Male,2009,Total,"Malignant neoplasms of trachea, bronchus, lung",364626.3702,Neoplasms,Malignant neoplasms
Male,2010,Total,"Malignant neoplasms of trachea, bronchus, lung",363097.1497,Neoplasms,Malignant neoplasms
Female,2017,Total,Diseases of the respiratory system,362511.0674,Diseases of the respiratory system,Other
Total,2014,Total,Diabetes mellitus,362163.2486,Other,"Endocrine, nutritional and metabolic diseases"
Total,2012,Total,Diabetes mellitus,361978.1018,Other,"Endocrine, nutritional and metabolic diseases"
Male,2012,Total,Cerebrovascular diseases,361676.4028,Diseases of the circulatory system,Diseases of the circulatory system
Total,2010,Total,Diabetes mellitus,361468.7505,Other,"Endocrine, nutritional and metabolic diseases"
Male,2016,Total,Acute myocardial infarction,361211.1717,Diseases of the circulatory system,Diseases of the circulatory system
Total,2018,Total,"Malignant neoplasms of trachea, bronchus, lung",361164.2908,Neoplasms,Malignant neoplasms
Total,2017,Total,Accidents,361153.753,External causes of mortality,External causes of mortality
Male,2003,Total,"Malignant neoplasms of trachea, bronchus, lung",360926.7201,Neoplasms,Malignant neoplasms
Total,2013,Total,Diabetes mellitus,360896.164,Other,"Endocrine, nutritional and metabolic diseases"
Total,2003,Total,Chronic obstructive pulmonary diseases,360088.7193,Other,Other
Female,2012,Total,Diseases of the respiratory system,359168.5815,Diseases of the respiratory system,Other
Male,2012,Total,Acute myocardial infarction,359166.545,Diseases of the circulatory system,Diseases of the circulatory system
Total,2012,Total,Diseases of the nervous system,358357.1395,Other,Other
Total,2015,Total,Accidents,357728.1563,External causes of mortality,External causes of mortality
Male,2004,Total,"Malignant neoplasms of trachea, bronchus, lung",357673.3726,Neoplasms,Malignant neoplasms
Total,2017,Total,Chronic obstructive pulmonary diseases,357279.5987,Other,Other
Total,2011,Total,Diabetes mellitus,357221.5445,Other,"Endocrine, nutritional and metabolic diseases"
Female,2003,Total,Diseases of the respiratory system,357155.3124,Diseases of the respiratory system,Other
Total,2008,Total,Chronic obstructive pulmonary diseases,356505.3616,Other,Other
Male,2011,Total,"Malignant neoplasms of trachea, bronchus, lung",355372.6844,Neoplasms,Malignant neoplasms
Total,2009,Total,Diabetes mellitus,354653.611,Other,"Endocrine, nutritional and metabolic diseases"
Male,2013,Total,Cerebrovascular diseases,354349.9182,Diseases of the circulatory system,Diseases of the circulatory system
Total,2019,Total,Chronic obstructive pulmonary diseases,353539.9613,Other,Other
Female,2006,Total,Cerebrovascular diseases,353323.789,Diseases of the circulatory system,Diseases of the circulatory system
Male,2006,Total,"Malignant neoplasms of trachea, bronchus, lung",353126.7472,Neoplasms,Malignant neoplasms
Total,2011,Total,Accidents,353008.3228,External causes of mortality,External causes of mortality
Female,2011,Total,Diseases of the respiratory system,352770.0807,Diseases of the respiratory system,Other
Female,2019,Total,Diseases of the respiratory system,352602.3582,Diseases of the respiratory system,Other
Total,2003,Total,Accidents,352526.2551,External causes of mortality,External causes of mortality
Female,2009,Total,Diseases of the respiratory system,351558.3641,Diseases of the respiratory system,Other
Male,2012,Total,"Malignant neoplasms of trachea, bronchus, lung",351350.6354,Neoplasms,Malignant neoplasms
Male,2007,Total,"Malignant neoplasms of trachea, bronchus, lung",351318.8268,Neoplasms,Malignant neoplasms
Female,2009,Total,Cerebrovascular diseases,351126.4853,Diseases of the circulatory system,Diseases of the circulatory system
Female,2010,Total,Diseases of the respiratory system,350959.6356,Diseases of the respiratory system,Other
Female,2005,Total,Diseases of the respiratory system,350791.3398,Diseases of the respiratory system,Other
Male,2005,Total,"Malignant neoplasms of trachea, bronchus, lung",350421.3964,Neoplasms,Malignant neoplasms
Total,2001,Total,Accidents,350253.1053,External causes of mortality,External causes of mortality
Total,2002,Total,Accidents,350044.3483,External causes of mortality,External causes of mortality
Total,2017,Total,Diabetes mellitus,349958.408,Other,"Endocrine, nutritional and metabolic diseases"
Male,2000,Total,"Malignant neoplasms of trachea, bronchus, lung",349398.6055,Neoplasms,Malignant neoplasms
Total,2014,Total,Accidents,348829.93,External causes of mortality,External causes of mortality
Male,2008,Total,"Malignant neoplasms of trachea, bronchus, lung",348579.434,Neoplasms,Malignant neoplasms
Total,2005,Total,Chronic obstructive pulmonary diseases,348316.4112,Other,Other
Male,2013,Total,"Malignant neoplasms of trachea, bronchus, lung",348079.2903,Neoplasms,Malignant neoplasms
Male,2020,Total,Acute myocardial infarction,347576.4779,Diseases of the circulatory system,Diseases of the circulatory system
Female,2007,Total,Cerebrovascular diseases,347537.4732,Diseases of the circulatory system,Diseases of the circulatory system
Female,2010,Total,Cerebrovascular diseases,347082.5827,Diseases of the circulatory system,Diseases of the circulatory system
Total,2007,Total,Chronic obstructive pulmonary diseases,345073.1626,Other,Other
Total,2013,Total,Accidents,344910.5396,External causes of mortality,External causes of mortality
Total,2002,Total,Chronic obstructive pulmonary diseases,344653.2748,Other,Other
Total,2006,Total,Accidents,343734.9748,External causes of mortality,External causes of mortality
Male,2014,Total,Cerebrovascular diseases,343559.1064,Diseases of the circulatory system,Diseases of the circulatory system
Total,2007,Total,Accidents,343417.9042,External causes of mortality,External causes of mortality
Total,2010,Total,Accidents,342876.103,External causes of mortality,External causes of mortality
Female,2002,Total,Diseases of the respiratory system,342585.4154,Diseases of the respiratory system,Other
Total,2009,Total,Accidents,342050.4632,External causes of mortality,External causes of mortality
Male,2014,Total,"Malignant neoplasms of trachea, bronchus, lung",342043.9677,Neoplasms,Malignant neoplasms
Female,2008,Total,Diseases of the respiratory system,341695.2381,Diseases of the respiratory system,Other
Total,2005,Total,Accidents,341536.4573,External causes of mortality,External causes of mortality
Male,2015,Total,Cerebrovascular diseases,341419.0513,Diseases of the circulatory system,Diseases of the circulatory system
Total,2012,Total,Accidents,341322.5222,External causes of mortality,External causes of mortality
Total,2004,Total,Accidents,340569.9188,External causes of mortality,External causes of mortality
Total,2008,Total,Accidents,339841.4342,External causes of mortality,External causes of mortality
Female,2018,Total,Diseases of the respiratory system,339743.2576,Diseases of the respiratory system,Other
Total,2003,Total,Diabetes mellitus,339329.9132,Other,"Endocrine, nutritional and metabolic diseases"
Female,2008,Total,Cerebrovascular diseases,338687.4369,Diseases of the circulatory system,Diseases of the circulatory system
Total,2004,Total,Chronic obstructive pulmonary diseases,338530.1831,Other,Other
Total,2001,Total,Chronic obstructive pulmonary diseases,338188.375,Other,Other
Total,2011,Total,Diseases of the nervous system,338184.6264,Other,Other
Total,2005,Total,Diabetes mellitus,337979.0864,Other,"Endocrine, nutritional and metabolic diseases"
Total,2000,Total,Accidents,337408.3097,External causes of mortality,External causes of mortality
Total,2008,Total,Diabetes mellitus,336810.591,Other,"Endocrine, nutritional and metabolic diseases"
Total,2006,Total,Chronic obstructive pulmonary diseases,335276.6719,Other,Other
Total,2019,Total,Diabetes mellitus,335189.2784,Other,"Endocrine, nutritional and metabolic diseases"
Total,2019,Total,Accidents,335000.1602,External causes of mortality,External causes of mortality
Female,2001,Total,Diseases of the respiratory system,334549.4207,Diseases of the respiratory system,Other
Female,2007,Total,Diseases of the respiratory system,334335.3715,Diseases of the respiratory system,Other
Total,2010,Total,Diseases of the nervous system,332655.7414,Other,Other
Total,2007,Total,Diabetes mellitus,332436.2443,Other,"Endocrine, nutritional and metabolic diseases"
Total,2006,Total,Diabetes mellitus,332412.7288,Other,"Endocrine, nutritional and metabolic diseases"
Total,2000,Total,"Symptoms, signs, ill-defined causes",332372.5117,Other,Other
Female,2004,Total,Diseases of the respiratory system,332206.1733,Diseases of the respiratory system,Other
Male,2015,Total,"Malignant neoplasms of trachea, bronchus, lung",331815.618,Neoplasms,Malignant neoplasms
Total,2004,Total,Diabetes mellitus,331781.1063,Other,"Endocrine, nutritional and metabolic diseases"
Total,2018,Total,Chronic obstructive pulmonary diseases,331059.0813,Other,Other
Male,2016,Total,Cerebrovascular diseases,330459.037,Diseases of the circulatory system,Diseases of the circulatory system
Female,2006,Total,Diseases of the respiratory system,329033.8871,Diseases of the respiratory system,Other
Total,2001,Total,"Symptoms, signs, ill-defined causes",328245.6471,Other,Other
Total,2017,Total,Mental and behavioural disorders,328171.1468,Other,Other
Total,2018,Total,Accidents,327468.7461,External causes of mortality,External causes of mortality
Male,2016,Total,"Malignant neoplasms of trachea, bronchus, lung",326576.6119,Neoplasms,Malignant neoplasms
Female,2011,Total,Cerebrovascular diseases,326061.3444,Diseases of the circulatory system,Diseases of the circulatory system
Total,2002,Total,Diabetes mellitus,325737.4876,Other,"Endocrine, nutritional and metabolic diseases"
Total,2020,Total,Accidents,325491.456,External causes of mortality,External causes of mortality
Male,2019,Total,Acute myocardial infarction,324671.5408,Diseases of the circulatory system,Diseases of the circulatory system
Total,2015,Total,Mental and behavioural disorders,322719.3077,Other,Other
Total,2003,Total,"Symptoms, signs, ill-defined causes",322099.9119,Other,Other
Total,2013,Total,Mental and behavioural disorders,321855.3475,Other,Other
Female,2000,Total,Diseases of the respiratory system,321812.3827,Diseases of the respiratory system,Other
Total,2014,Total,Mental and behavioural disorders,321465.8061,Other,Other
Female,2012,Total,Cerebrovascular diseases,321322.1063,Diseases of the circulatory system,Diseases of the circulatory system
Female,2020,Total,Codes for special purposes: COVID-19,320502.1191,Other,Other
Total,2000,Total,Chronic obstructive pulmonary diseases,320168.704,Other,Other
Total,2016,Total,Mental and behavioural disorders,318577.8506,Other,Other
Total,2010,Total,"Symptoms, signs, ill-defined causes",317544.3602,Other,Other
Total,2012,Total,"Symptoms, signs, ill-defined causes",317539.1892,Other,Other
Total,2009,Total,Diseases of the nervous system,317472.9915,Other,Other
Total,2018,Total,Diabetes mellitus,316718.9195,Other,"Endocrine, nutritional and metabolic diseases"
Female,2013,Total,Cerebrovascular diseases,315696.3878,Diseases of the circulatory system,Diseases of the circulatory system
Total,2019,Total,"Symptoms, signs, ill-defined causes",314229.3706,Other,Other
Total,2009,Total,"Symptoms, signs, ill-defined causes",314174.3248,Other,Other
Total,2003,Total,Pneumonia,313845.8926,Other,Other
Total,2001,Total,Diabetes mellitus,312520.2874,Other,"Endocrine, nutritional and metabolic diseases"
Female,2014,Total,Cerebrovascular diseases,310002.6297,Diseases of the circulatory system,Diseases of the circulatory system
Total,2011,Total,"Symptoms, signs, ill-defined causes",309956.2718,Other,Other
Total,2020,Total,"Malignant neoplasms of trachea, bronchus, lung",309410.2842,Neoplasms,Malignant neoplasms
Total,2002,Total,"Symptoms, signs, ill-defined causes",307671.5661,Other,Other
Male,2017,Total,Acute myocardial infarction,306846.9414,Diseases of the circulatory system,Diseases of the circulatory system
Total,2018,Total,Mental and behavioural disorders,305957.7967,Other,Other
Female,2015,Total,Cerebrovascular diseases,305954.9268,Diseases of the circulatory system,Diseases of the circulatory system
Total,2012,Total,Mental and behavioural disorders,305590.4032,Other,Other
Total,2004,Total,"Symptoms, signs, ill-defined causes",305353.7802,Other,Other
Total,2005,Total,Pneumonia,303651.6509,Other,Other
Total,2002,Total,Pneumonia,302961.3616,Other,Other
Total,2013,Total,"Symptoms, signs, ill-defined causes",302952.9043,Other,Other
Total,2005,Total,"Symptoms, signs, ill-defined causes",302312.3551,Other,Other
Total,2008,Total,Diseases of the nervous system,302229.3071,Other,Other
Total,2000,Total,Diabetes mellitus,300194.9898,Other,"Endocrine, nutritional and metabolic diseases"
Total,2001,Total,Pneumonia,299975.8251,Other,Other
Total,2015,Total,Pneumonia,299181.052,Other,Other
Total,2016,Total,"Symptoms, signs, ill-defined causes",297246.1233,Other,Other
Male,2018,Total,Acute myocardial infarction,296542.5076,Diseases of the circulatory system,Diseases of the circulatory system
Female,2016,Total,Cerebrovascular diseases,296020.7849,Diseases of the circulatory system,Diseases of the circulatory system
Total,2007,Total,"Symptoms, signs, ill-defined causes",294729.2243,Other,Other
Total,2008,Total,"Symptoms, signs, ill-defined causes",294576.6531,Other,Other
Total,2016,Total,Pneumonia,293313.2994,Other,Other
Total,2006,Total,"Symptoms, signs, ill-defined causes",292306.0213,Other,Other
Total,2015,Total,"Symptoms, signs, ill-defined causes",291705.7776,Other,Other
Total,2019,Total,Mental and behavioural disorders,291580.0852,Other,Other
Total,2017,Total,"Symptoms, signs, ill-defined causes",291549.1795,Other,Other
Total,2004,Total,Pneumonia,291213.4096,Other,Other
Total,2000,Total,Pneumonia,290410.9272,Other,Other
Total,2007,Total,Diseases of the nervous system,289257.5673,Other,Other
Total,2014,Total,"Symptoms, signs, ill-defined causes",288952.5608,Other,Other
Male,2017,Total,Cerebrovascular diseases,288563.0358,Diseases of the circulatory system,Diseases of the circulatory system
Total,2006,Total,Pneumonia,288211.685,Other,Other
Female,2020,Total,Diseases of the respiratory system,287193.5122,Diseases of the respiratory system,Other
Total,2013,Total,Pneumonia,285248.6121,Other,Other
Total,2007,Total,Pneumonia,284169.8459,Other,Other
Total,2017,Total,Dementia,284127.0458,Other,Mental and behavioural disorders
Total,2008,Total,Pneumonia,283859.7593,Other,Other
Male,2017,Total,"Malignant neoplasms of trachea, bronchus, lung",282955.5339,Neoplasms,Malignant neoplasms
Total,2019,Total,Pneumonia,282583.3248,Other,Other
Total,2013,Total,Dementia,282446.1006,Other,Mental and behavioural disorders
Male,2020,Total,"Endocrine, nutritional and metabolic diseases",282288.2158,Other,Other
Total,2020,Total,Chronic obstructive pulmonary diseases,281065.8724,Other,Other
Total,2020,Total,"Symptoms, signs, ill-defined causes",280891.5576,Other,Other
Total,2014,Total,Dementia,280506.502,Other,Mental and behavioural disorders
Total,2014,Total,Pneumonia,280361.2843,Other,Other
Total,2009,Total,Pneumonia,280026.7084,Other,Other
Total,2015,Total,Dementia,279487.0464,Other,Mental and behavioural disorders
Total,2012,Total,Pneumonia,279316.5749,Other,Other
Total,2006,Total,Diseases of the nervous system,278616.1622,Other,Other
Total,2011,Total,Mental and behavioural disorders,277232.6873,Other,Other
Male,2019,Total,Cerebrovascular diseases,276967.6549,Diseases of the circulatory system,Diseases of the circulatory system
Total,2010,Total,Pneumonia,276789.7939,Other,Other
Female,2001,Total,Acute myocardial infarction,274858.1228,Diseases of the circulatory system,Diseases of the circulatory system
Total,2011,Total,Pneumonia,274796.0591,Other,Other
Total,2020,Total,Mental and behavioural disorders,274415.0567,Other,Other
Total,2016,Total,Dementia,274255.0291,Other,Mental and behavioural disorders
Total,2005,Total,Diseases of the nervous system,270823.4959,Other,Other
Female,2002,Total,Acute myocardial infarction,270007.9618,Diseases of the circulatory system,Diseases of the circulatory system
Total,2003,Total,Diseases of the nervous system,267365.2693,Other,Other
Total,2012,Total,Dementia,266958.72,Other,Mental and behavioural disorders
Total,2018,Total,Dementia,266904.8334,Other,Mental and behavioural disorders
Female,2000,Total,Acute myocardial infarction,266621.8525,Diseases of the circulatory system,Diseases of the circulatory system
Male,2003,Total,Diseases of the digestive system,265938.0039,Other,Other
Female,2017,Total,Cerebrovascular diseases,265685.8839,Diseases of the circulatory system,Diseases of the circulatory system
Female,2003,Total,Acute myocardial infarction,265212.1414,Diseases of the circulatory system,Diseases of the circulatory system
Male,2002,Total,Diseases of the digestive system,264997.0694,Other,Other
Male,2001,Total,Diseases of the digestive system,264200.1242,Other,Other
Male,2009,Total,Chronic obstructive pulmonary diseases,263820.6535,Other,Other
Male,2013,Total,Chronic obstructive pulmonary diseases,261602.9939,Other,Other
Male,2011,Total,Chronic obstructive pulmonary diseases,261424.9252,Other,Other
Male,2015,Total,Chronic obstructive pulmonary diseases,260830.8693,Other,Other
Total,2018,Total,"Symptoms, signs, ill-defined causes",260802.2372,Other,Other
Total,2017,Total,Pneumonia,260332.4688,Other,Other
Male,2009,Total,Diseases of the digestive system,259743.2574,Other,Other
Male,2016,Total,"Endocrine, nutritional and metabolic diseases",259574.378,Other,Other
Male,2018,Total,Cerebrovascular diseases,259324.1981,Diseases of the circulatory system,Diseases of the circulatory system
Total,2004,Total,Diseases of the nervous system,259148.475,Other,Other
Total,2018,Total,Pneumonia,258639.0647,Other,Other
Male,2010,Total,Diseases of the digestive system,258517.5969,Other,Other
Male,2012,Total,Chronic obstructive pulmonary diseases,258243.3861,Other,Other
Male,2019,Total,"Malignant neoplasms of trachea, bronchus, lung",258132.0313,Neoplasms,Malignant neoplasms
Male,2003,Total,Chronic obstructive pulmonary diseases,257587.6885,Other,Other
Male,2010,Total,Chronic obstructive pulmonary diseases,257546.8043,Other,Other
Male,2008,Total,Diseases of the digestive system,257283.2503,Other,Other
Male,2015,Total,"Endocrine, nutritional and metabolic diseases",257282.8408,Other,Other
Male,2016,Total,Diseases of the digestive system,256829.1999,Other,Other
Male,2004,Total,Diseases of the digestive system,256766.3824,Other,Other
Male,2007,Total,Diseases of the digestive system,256381.8564,Other,Other
Male,2016,Total,Accidents,255915.5784,External causes of mortality,External causes of mortality
Male,2000,Total,Diseases of the digestive system,254929.2345,Other,Other
Total,2010,Total,Mental and behavioural disorders,253860.4269,Other,Other
Male,2013,Total,Diseases of the digestive system,253825.8014,Other,Other
Male,2012,Total,Diseases of the digestive system,253819.0767,Other,Other
Male,2006,Total,Diseases of the digestive system,253415.0556,Other,Other
Total,2019,Total,Dementia,253094.2465,Other,Mental and behavioural disorders
Male,2011,Total,Diseases of the digestive system,253041.2722,Other,Other
Male,2014,Total,Chronic obstructive pulmonary diseases,252967.2384,Other,Other
Male,2016,Total,Chronic obstructive pulmonary diseases,252155.2325,Other,Other
Male,2005,Total,Diseases of the digestive system,252030.2296,Other,Other
Male,2015,Total,Diseases of the digestive system,251656.3231,Other,Other
Male,2014,Total,Diseases of the digestive system,250303.0724,Other,Other
Total,2002,Total,Diseases of the nervous system,249466.7989,Other,Other
Total,2020,Total,Pneumonia,249448.1362,Other,Other
Male,2002,Total,Chronic obstructive pulmonary diseases,249080.1827,Other,Other
Male,2013,Total,"Endocrine, nutritional and metabolic diseases",248119.0689,Other,Other
Female,2004,Total,Acute myocardial infarction,247864.5699,Diseases of the circulatory system,Diseases of the circulatory system
Male,2014,Total,"Endocrine, nutritional and metabolic diseases",247261.8408,Other,Other
Male,2012,Total,"Endocrine, nutritional and metabolic diseases",246209.4696,Other,Other
Male,2001,Total,Chronic obstructive pulmonary diseases,245101.2627,Other,Other
Male,2015,Total,Accidents,244603.5157,External causes of mortality,External causes of mortality
Male,2017,Total,"Endocrine, nutritional and metabolic diseases",244558.1166,Other,Other
Male,2008,Total,Chronic obstructive pulmonary diseases,244130.676,Other,Other
Male,2018,Total,"Malignant neoplasms of trachea, bronchus, lung",243832.2219,Neoplasms,Malignant neoplasms
Male,2001,Total,Accidents,243309.724,External causes of mortality,External causes of mortality
Male,2017,Total,Diseases of the digestive system,243240.7841,Other,Other
Female,2019,Total,Cerebrovascular diseases,243233.9452,Diseases of the circulatory system,Diseases of the circulatory system
Male,2017,Total,Accidents,242901.7509,External causes of mortality,External causes of mortality
Male,2011,Total,"Endocrine, nutritional and metabolic diseases",242702.0332,Other,Other
Male,2003,Total,Accidents,242643.1251,External causes of mortality,External causes of mortality
Male,2010,Total,"Endocrine, nutritional and metabolic diseases",242301.0691,Other,Other
Male,2002,Total,Accidents,242018.8422,External causes of mortality,External causes of mortality
Male,2019,Total,"Endocrine, nutritional and metabolic diseases",241987.3428,Other,Other
Male,2005,Total,Chronic obstructive pulmonary diseases,241401.7943,Other,Other
Male,2004,Total,Chronic obstructive pulmonary diseases,240971.3856,Other,Other
Male,2020,Total,Cerebrovascular diseases,240635.1361,Diseases of the circulatory system,Diseases of the circulatory system
Male,2007,Total,Chronic obstructive pulmonary diseases,240257.454,Other,Other
Total,2001,Total,"Malignant neoplasms of colon, rectum and anus",239837.829,Neoplasms,Malignant neoplasms
Male,2011,Total,Accidents,239770.1874,External causes of mortality,External causes of mortality
Total,2002,Total,"Malignant neoplasms of colon, rectum and anus",239579.0438,Neoplasms,Malignant neoplasms
Total,2003,Total,"Malignant neoplasms of colon, rectum and anus",239567.4634,Neoplasms,Malignant neoplasms
Total,2011,Total,Dementia,239244.9314,Other,Mental and behavioural disorders
Male,2006,Total,Accidents,239046.7386,External causes of mortality,External causes of mortality
Male,2007,Total,Accidents,238675.6228,External causes of mortality,External causes of mortality
Total,2015,Total,Diseases of the genitourinary system,237858.906,Other,Other
Female,2005,Total,Acute myocardial infarction,237837.136,Diseases of the circulatory system,Diseases of the circulatory system
Male,2009,Total,"Endocrine, nutritional and metabolic diseases",237690.7157,Other,Other
Total,2009,Total,Mental and behavioural disorders,237344.0017,Other,Other
Male,2009,Total,Accidents,237167.1479,External causes of mortality,External causes of mortality
Male,2014,Total,Accidents,236915.0235,External causes of mortality,External causes of mortality
Male,2005,Total,Accidents,236765.0586,External causes of mortality,External causes of mortality
Male,2000,Total,Accidents,236374.5159,External causes of mortality,External causes of mortality
Total,2016,Total,Diseases of the genitourinary system,236355.8995,Other,Other
Male,2008,Total,Accidents,236098.7286,External causes of mortality,External causes of mortality
Total,2001,Total,Diseases of the nervous system,235826.6579,Other,Other
Male,2010,Total,Accidents,235557.6321,External causes of mortality,External causes of mortality
Male,2019,Total,Diseases of the digestive system,235538.1017,Other,Other
Male,2004,Total,Accidents,235143.9562,External causes of mortality,External causes of mortality
Male,2013,Total,Accidents,235131.59,External causes of mortality,External causes of mortality
Total,2010,Total,"Malignant neoplasms of colon, rectum and anus",234622.4151,Neoplasms,Malignant neoplasms
Male,2000,Total,Chronic obstructive pulmonary diseases,234445.2767,Other,Other
Male,2006,Total,Chronic obstructive pulmonary diseases,234077.8581,Other,Other
Total,2004,Total,"Malignant neoplasms of colon, rectum and anus",233875.6541,Neoplasms,Malignant neoplasms
Total,2012,Total,"Malignant neoplasms of colon, rectum and anus",233861.7862,Neoplasms,Malignant neoplasms
Total,2009,Total,"Malignant neoplasms of colon, rectum and anus",233509.7488,Neoplasms,Malignant neoplasms
Male,2012,Total,Accidents,232989.257,External causes of mortality,External causes of mortality
Total,2008,Total,Mental and behavioural disorders,232489.2742,Other,Other
Total,2020,Total,Dementia,232246.1077,Other,Mental and behavioural disorders
Total,2013,Total,"Malignant neoplasms of colon, rectum and anus",232165.8818,Neoplasms,Malignant neoplasms
Total,2011,Total,"Malignant neoplasms of colon, rectum and anus",232049.4286,Neoplasms,Malignant neoplasms
Total,2007,Total,"Malignant neoplasms of colon, rectum and anus",230958.3178,Neoplasms,Malignant neoplasms
Male,2018,Total,Diseases of the digestive system,230610.3939,Other,Other
Total,2008,Total,"Malignant neoplasms of colon, rectum and anus",230526.2788,Neoplasms,Malignant neoplasms
Total,2014,Total,"Malignant neoplasms of colon, rectum and anus",230352.0657,Neoplasms,Malignant neoplasms
Male,2019,Total,Accidents,230292.3578,External causes of mortality,External causes of mortality
Female,2006,Total,Acute myocardial infarction,230277.4032,Diseases of the circulatory system,Diseases of the circulatory system
Female,2018,Total,Cerebrovascular diseases,229660.6738,Diseases of the circulatory system,Diseases of the circulatory system
Total,2016,Total,"Malignant neoplasms of colon, rectum and anus",229060.5658,Neoplasms,Malignant neoplasms
Total,2006,Total,"Malignant neoplasms of colon, rectum and anus",228605.0727,Neoplasms,Malignant neoplasms
Total,2010,Total,Diseases of the genitourinary system,228253.414,Other,Other
Total,2015,Total,"Malignant neoplasms of colon, rectum and anus",227996.6541,Neoplasms,Malignant neoplasms
Female,2010,Total,Acute myocardial infarction,227898.1169,Diseases of the circulatory system,Diseases of the circulatory system
Total,2000,Total,"Malignant neoplasms of colon, rectum and anus",227540.6553,Neoplasms,Malignant neoplasms
Total,2014,Total,Diseases of the genitourinary system,227158.1174,Other,Other
Total,2005,Total,"Malignant neoplasms of colon, rectum and anus",227110.7804,Neoplasms,Malignant neoplasms
Male,2008,Total,"Endocrine, nutritional and metabolic diseases",226664.0234,Other,Other
Male,2018,Total,"Endocrine, nutritional and metabolic diseases",226601.3152,Other,Other
Female,2016,Total,"Endocrine, nutritional and metabolic diseases",225946.1747,Other,Other
Male,2020,Total,Accidents,225922.1461,External causes of mortality,External causes of mortality
Total,2019,Total,Diseases of the genitourinary system,225635.8473,Other,Other
Female,2015,Total,"Endocrine, nutritional and metabolic diseases",225592.4112,Other,Other
Male,2020,Total,Diseases of the digestive system,225575.4958,Other,Other
Female,2009,Total,Acute myocardial infarction,224734.9607,Diseases of the circulatory system,Diseases of the circulatory system
Male,2007,Total,"Endocrine, nutritional and metabolic diseases",224370.1262,Other,Other
Male,2018,Total,Accidents,224247.6546,External causes of mortality,External causes of mortality
Total,2012,Total,Diseases of the genitourinary system,224098.8839,Other,Other
Total,2013,Total,Diseases of the genitourinary system,223918.7577,Other,Other
Total,2016,Total,Alzheimer's disease,223838.4304,Other,Diseases of the nervous system
Male,2016,Total,Diseases of the nervous system,223494.3764,Other,Other
Male,2003,Total,"Endocrine, nutritional and metabolic diseases",223160.4385,Other,Other
Female,2020,Total,"Endocrine, nutritional and metabolic diseases",223024.6999,Other,Other
Female,2014,Total,Acute myocardial infarction,222489.3534,Diseases of the circulatory system,Diseases of the circulatory system
Female,2015,Total,Acute myocardial infarction,222431.9837,Diseases of the circulatory system,Diseases of the circulatory system
Male,2020,Total,Diabetes mellitus,221881.519,Other,"Endocrine, nutritional and metabolic diseases"
Female,2016,Total,Acute myocardial infarction,221850.0056,Diseases of the circulatory system,Diseases of the circulatory system
Total,2009,Total,Diseases of the genitourinary system,221627.9074,Other,Other
Male,2006,Total,"Endocrine, nutritional and metabolic diseases",221361.3671,Other,Other
Female,2010,Total,"Endocrine, nutritional and metabolic diseases",221079.0517,Other,Other
Female,2007,Total,Acute myocardial infarction,219978.7771,Diseases of the circulatory system,Diseases of the circulatory system
Male,2019,Total,Chronic obstructive pulmonary diseases,219650.5908,Other,Other
Total,2011,Total,Diseases of the genitourinary system,219282.2932,Other,Other
Female,2014,Total,"Endocrine, nutritional and metabolic diseases",219003.5846,Other,Other
Male,2005,Total,"Endocrine, nutritional and metabolic diseases",218705.2162,Other,Other
Female,2013,Total,"Endocrine, nutritional and metabolic diseases",218618.4904,Other,Other
Male,2017,Total,Chronic obstructive pulmonary diseases,218612.2675,Other,Other
Male,2004,Total,"Endocrine, nutritional and metabolic diseases",217918.5322,Other,Other
Female,2013,Total,Acute myocardial infarction,217486.2741,Diseases of the circulatory system,Diseases of the circulatory system
Female,2008,Total,Acute myocardial infarction,217435.2518,Diseases of the circulatory system,Diseases of the circulatory system
Female,2012,Total,"Endocrine, nutritional and metabolic diseases",216812.6607,Other,Other
Male,2015,Total,Diseases of the nervous system,216262.1677,Other,Other
Male,2019,Total,Diseases of the nervous system,215357.0589,Other,Other
Female,2009,Total,"Endocrine, nutritional and metabolic diseases",215323.1992,Other,Other
Female,2011,Total,"Endocrine, nutritional and metabolic diseases",215202.1965,Other,Other
Total,2010,Total,Dementia,214598.5258,Other,Mental and behavioural disorders
Female,2017,Total,"Endocrine, nutritional and metabolic diseases",214432.7043,Other,Other
Female,2011,Total,Acute myocardial infarction,214104.7716,Diseases of the circulatory system,Diseases of the circulatory system
Total,2015,Total,Alzheimer's disease,213955.1285,Other,Diseases of the nervous system
Female,2017,Total,Diseases of the nervous system,213807.5484,Other,Other
Male,2002,Total,"Endocrine, nutritional and metabolic diseases",213720.9812,Other,Other
Total,2017,Total,"Malignant neoplasms of colon, rectum and anus",213375.5795,Neoplasms,Malignant neoplasms
Female,2016,Total,Diseases of the nervous system,212318.5079,Other,Other
Total,2000,Total,Diseases of the nervous system,211922.1516,Other,Other
