Sex,Year,Source,Target,Mortality Type,Value,Cause
Male,2009,Total,Cognitive Disorders,Alzheimer's disease,66331.49301,
Male,2010,Total,Cognitive Disorders,Alzheimer's disease,69300.93185,
Male,2011,Total,Cognitive Disorders,Alzheimer's disease,71425.10001,
Male,2012,Total,Cognitive Disorders,Alzheimer's disease,75414.0517,
Male,2013,Total,Cognitive Disorders,Alzheimer's disease,77757.35063,
Male,2014,Total,Cognitive Disorders,Alzheimer's disease,81252.50322,
Male,2015,Total,Cognitive Disorders,Alzheimer's disease,89653.42403,
Male,2016,Total,Cognitive Disorders,Alzheimer's disease,93136.01246,
Total,2000,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",227540.6553,"Malignant neoplasms of colon, rectum and anus"
Total,2001,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",239837.829,"Malignant neoplasms of colon, rectum and anus"
Total,2002,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",239579.0438,"Malignant neoplasms of colon, rectum and anus"
Total,2003,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",239567.4634,"Malignant neoplasms of colon, rectum and anus"
Total,2004,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",233875.6541,"Malignant neoplasms of colon, rectum and anus"
Total,2005,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",227110.7804,"Malignant neoplasms of colon, rectum and anus"
Total,2006,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",228605.0727,"Malignant neoplasms of colon, rectum and anus"
Total,2007,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",230958.3178,"Malignant neoplasms of colon, rectum and anus"
Total,2008,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",230526.2788,"Malignant neoplasms of colon, rectum and anus"
Total,2009,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",233509.7488,"Malignant neoplasms of colon, rectum and anus"
Total,2010,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",234622.4151,"Malignant neoplasms of colon, rectum and anus"
Total,2011,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",232049.4286,"Malignant neoplasms of colon, rectum and anus"
Total,2012,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",233861.7862,"Malignant neoplasms of colon, rectum and anus"
Total,2013,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",232165.8818,"Malignant neoplasms of colon, rectum and anus"
Total,2014,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",230352.0657,"Malignant neoplasms of colon, rectum and anus"
Total,2015,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",227996.6541,"Malignant neoplasms of colon, rectum and anus"
Total,2016,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",229060.5658,"Malignant neoplasms of colon, rectum and anus"
Total,2017,Total,Cancers,"Malignant neoplasms of colon, rectum and anus",213375.5795,"Malignant neoplasms of colon, rectum and anus"
Female,2000,Total,Respiratory System,Chronic obstructive pulmonary diseases,115922.7791,
Female,2000,Total,Other,"Symptoms, signs, ill-defined causes",151036.9587,
Female,2000,Total,Cancers,Malignant neoplasms of ovary,40627.33681,Malignant neoplasms of ovary
Female,2000,Total,Other,Diabetes mellitus,149159.9459,
Female,2001,Total,Respiratory System,Chronic obstructive pulmonary diseases,124494.2346,
Female,2001,Total,Other,"Symptoms, signs, ill-defined causes",150822.5147,
Female,2001,Total,Cancers,Malignant neoplasms of ovary,44571.09325,Malignant neoplasms of ovary
Female,2001,Total,Other,Diabetes mellitus,152757.2657,
Female,2002,Total,Respiratory System,Chronic obstructive pulmonary diseases,127047.6959,
Female,2002,Total,Other,"Symptoms, signs, ill-defined causes",142182.3595,
Female,2002,Total,Cancers,Malignant neoplasms of ovary,44752.66845,Malignant neoplasms of ovary
Female,2002,Total,Other,Diabetes mellitus,157906.6854,
Female,2003,Total,Respiratory System,Chronic obstructive pulmonary diseases,133995.4136,
Female,2003,Total,Other,"Symptoms, signs, ill-defined causes",149833.7474,
Female,2003,Total,Cancers,Malignant neoplasms of ovary,44795.27273,Malignant neoplasms of ovary
Female,2003,Total,Other,Diabetes mellitus,164500.9505,
Female,2004,Total,Respiratory System,Chronic obstructive pulmonary diseases,126452.4433,
Female,2004,Total,Other,"Symptoms, signs, ill-defined causes",141545.3013,
Female,2004,Total,Cancers,Malignant neoplasms of ovary,44291.99447,Malignant neoplasms of ovary
Female,2004,Total,Other,Diabetes mellitus,159958.4697,
Female,2005,Total,Respiratory System,Chronic obstructive pulmonary diseases,133220.4314,
Female,2005,Total,Other,"Symptoms, signs, ill-defined causes",140320.1166,
Female,2005,Total,Cancers,Malignant neoplasms of ovary,43510.38102,Malignant neoplasms of ovary
Female,2005,Total,Other,Diabetes mellitus,164479.3752,
Female,2006,Total,Respiratory System,Chronic obstructive pulmonary diseases,127149.0944,
Female,2006,Total,Other,"Symptoms, signs, ill-defined causes",134077.4332,
Female,2006,Total,Cancers,Malignant neoplasms of ovary,44252.54135,Malignant neoplasms of ovary
Female,2006,Total,Other,Diabetes mellitus,158139.8228,
Female,2007,Total,Respiratory System,Chronic obstructive pulmonary diseases,131088.1461,
Female,2007,Total,Other,"Symptoms, signs, ill-defined causes",134191.8239,
Female,2007,Total,Cancers,Malignant neoplasms of ovary,44166.39187,Malignant neoplasms of ovary
Female,2007,Total,Other,Diabetes mellitus,157206.1735,
Female,2008,Total,Respiratory System,Chronic obstructive pulmonary diseases,137468.7103,
Female,2008,Total,Other,"Symptoms, signs, ill-defined causes",133561.1543,
Female,2008,Total,Cancers,Malignant neoplasms of ovary,43998.33037,Malignant neoplasms of ovary
Female,2008,Total,Other,Diabetes mellitus,159778.2918,
Female,2009,Total,Respiratory System,Chronic obstructive pulmonary diseases,144451.5189,
Female,2009,Total,Other,"Symptoms, signs, ill-defined causes",139837.3933,
Female,2009,Total,Cancers,Malignant neoplasms of ovary,44986.31192,Malignant neoplasms of ovary
Female,2009,Total,Other,Diabetes mellitus,168618.7321,
Female,2010,Total,Respiratory System,Chronic obstructive pulmonary diseases,147555.1187,
Female,2010,Total,Other,"Symptoms, signs, ill-defined causes",142631.8036,
Female,2010,Total,Cancers,Malignant neoplasms of ovary,45354.16702,Malignant neoplasms of ovary
Female,2010,Total,Other,Diabetes mellitus,172592.372,
Female,2011,Total,Respiratory System,Chronic obstructive pulmonary diseases,148256.4688,
Female,2011,Total,Other,"Symptoms, signs, ill-defined causes",138623.1702,
Female,2011,Total,Cancers,Malignant neoplasms of ovary,44933.56891,Malignant neoplasms of ovary
Female,2011,Total,Other,Diabetes mellitus,168206.1751,
Female,2012,Total,Respiratory System,Chronic obstructive pulmonary diseases,149660.9431,
Female,2012,Total,Other,"Symptoms, signs, ill-defined causes",142547.5956,
Female,2012,Total,Cancers,Malignant neoplasms of ovary,44353.08352,Malignant neoplasms of ovary
Female,2012,Total,Other,Diabetes mellitus,169529.358,
Female,2013,Total,Respiratory System,Chronic obstructive pulmonary diseases,156693.1773,
Female,2013,Total,Other,"Symptoms, signs, ill-defined causes",136175.7866,
Female,2013,Total,Cancers,Malignant neoplasms of ovary,44408.96791,Malignant neoplasms of ovary
Female,2013,Total,Other,Diabetes mellitus,169019.3707,
Female,2014,Total,Respiratory System,Chronic obstructive pulmonary diseases,155087.948,
Female,2014,Total,Other,"Symptoms, signs, ill-defined causes",130181.3792,
Female,2014,Total,Cancers,Malignant neoplasms of ovary,44381.7475,Malignant neoplasms of ovary
Female,2014,Total,Other,Diabetes mellitus,169644.2717,
Female,2015,Total,Respiratory System,Chronic obstructive pulmonary diseases,162570.9605,
Female,2015,Total,Other,"Symptoms, signs, ill-defined causes",130706.4946,
Female,2015,Total,Cancers,Malignant neoplasms of ovary,43290.58633,Malignant neoplasms of ovary
Female,2015,Total,Other,Diabetes mellitus,173640.4707,
Female,2016,Total,Respiratory System,Chronic obstructive pulmonary diseases,159830.5932,
Female,2016,Total,Other,"Symptoms, signs, ill-defined causes",132458.9783,
Female,2016,Total,Cancers,Malignant neoplasms of ovary,44065.92315,Malignant neoplasms of ovary
Female,2016,Total,Other,Diabetes mellitus,173879.5287,
Female,2017,Total,Respiratory System,Chronic obstructive pulmonary diseases,152514.7373,
Female,2017,Total,Other,"Symptoms, signs, ill-defined causes",140477.3745,
Female,2017,Total,Cancers,Malignant neoplasms of ovary,42159.65903,Malignant neoplasms of ovary
Female,2017,Total,Other,Diabetes mellitus,161940.7802,
Female,2018,Total,Respiratory System,Chronic obstructive pulmonary diseases,141072.7521,
Female,2018,Total,Other,"Symptoms, signs, ill-defined causes",116333.3306,
Female,2018,Total,Cancers,Malignant neoplasms of ovary,36686.95163,Malignant neoplasms of ovary
Female,2018,Total,Other,Diabetes mellitus,143538.2213,
Female,2019,Total,Respiratory System,Chronic obstructive pulmonary diseases,147224.322,
Female,2019,Total,Other,"Symptoms, signs, ill-defined causes",137061.1912,
Female,2019,Total,Cancers,Malignant neoplasms of ovary,36999.96024,Malignant neoplasms of ovary
Female,2019,Total,Other,Diabetes mellitus,152276.6977,
Female,2020,Total,Respiratory System,Chronic obstructive pulmonary diseases,117068.4909,
Female,2020,Total,Other,"Symptoms, signs, ill-defined causes",124409.5881,
Female,2020,Total,Cancers,Malignant neoplasms of ovary,32709.03974,Malignant neoplasms of ovary
Female,2020,Total,Other,Diabetes mellitus,171450.7397,
Female,2021,Total,Respiratory System,Chronic obstructive pulmonary diseases,5488.196101,
Female,2021,Total,Other,"Symptoms, signs, ill-defined causes",5985.436725,
Female,2021,Total,Cancers,Malignant neoplasms of ovary,3200.106734,Malignant neoplasms of ovary
Female,2021,Total,Other,Diabetes mellitus,7864.827341,
Male,2000,Total,External Causes,Accidental poisoning,14612.50244,
Male,2001,Total,External Causes,Accidental poisoning,16184.4302,
Male,2002,Total,External Causes,Accidental poisoning,16771.50644,
Male,2003,Total,External Causes,Accidental poisoning,18007.87952,
Male,2004,Total,External Causes,Accidental poisoning,18705.2466,
Male,2005,Total,External Causes,Accidental poisoning,20784.11542,
Male,2006,Total,External Causes,Accidental poisoning,25140.86736,
Male,2007,Total,External Causes,Accidental poisoning,25387.54458,
Male,2008,Total,External Causes,Accidental poisoning,26424.70874,
Male,2009,Total,External Causes,Accidental poisoning,26996.49828,
Male,2010,Total,External Causes,Accidental poisoning,26935.8268,
Male,2011,Total,External Causes,Accidental poisoning,29304.60356,
Male,2012,Total,External Causes,Accidental poisoning,29557.59996,
Male,2013,Total,External Causes,Accidental poisoning,31167.94513,
Male,2014,Total,External Causes,Accidental poisoning,33685.81704,
Male,2015,Total,External Causes,Accidental poisoning,37261.38452,
Male,2016,Total,External Causes,Accidental poisoning,45184.11561,
Male,2017,Total,External Causes,Accidental poisoning,49138.32507,
Male,2018,Total,External Causes,Accidental poisoning,47416.26383,
Male,2019,Total,External Causes,Accidental poisoning,49634.10541,
Female,2000,Total,Cancers,Neoplasms,848396.2891,Neoplasms
Female,2000,Total,Other,"Pregnancy, childbirth and the puerperium",1944.382073,
Female,2001,Total,Cancers,Neoplasms,900289.915,Neoplasms
Female,2001,Total,Other,"Pregnancy, childbirth and the puerperium",1881.379416,
Female,2002,Total,Cancers,Neoplasms,901018.0577,Neoplasms
Female,2002,Total,Other,"Pregnancy, childbirth and the puerperium",1858.501757,
Female,2003,Total,Cancers,Neoplasms,902316.3331,Neoplasms
Female,2003,Total,Other,"Pregnancy, childbirth and the puerperium",1948.733595,
Female,2004,Total,Cancers,Neoplasms,890373.4648,Neoplasms
Female,2004,Total,Other,"Pregnancy, childbirth and the puerperium",2058.68236,
Female,2005,Total,Cancers,Neoplasms,873337.2696,Neoplasms
Female,2005,Total,Other,"Pregnancy, childbirth and the puerperium",2042.515426,
Female,2006,Total,Cancers,Neoplasms,884479.4685,Neoplasms
Female,2006,Total,Other,"Pregnancy, childbirth and the puerperium",2030.634903,
Female,2007,Total,Cancers,Neoplasms,889525.1931,Neoplasms
Female,2007,Total,Other,"Pregnancy, childbirth and the puerperium",1916.016889,
Female,2008,Total,Cancers,Neoplasms,890201.7843,Neoplasms
Female,2008,Total,Other,"Pregnancy, childbirth and the puerperium",1924.997553,
Female,2009,Total,Cancers,Neoplasms,911992.2256,Neoplasms
Female,2009,Total,Other,"Pregnancy, childbirth and the puerperium",2218.155259,
Female,2010,Total,Cancers,Neoplasms,917076.8606,Neoplasms
Female,2010,Total,Other,"Pregnancy, childbirth and the puerperium",1973.022459,
Female,2011,Total,Cancers,Neoplasms,908669.4589,Neoplasms
Female,2011,Total,Other,"Pregnancy, childbirth and the puerperium",2065.74886,
Female,2012,Total,Cancers,Neoplasms,915301.3594,Neoplasms
Female,2012,Total,Other,"Pregnancy, childbirth and the puerperium",2049.925894,
Female,2013,Total,Cancers,Neoplasms,914598.4196,Neoplasms
Female,2013,Total,Other,"Pregnancy, childbirth and the puerperium",2285.933382,
Female,2014,Total,Cancers,Neoplasms,918117.4565,Neoplasms
Female,2014,Total,Other,"Pregnancy, childbirth and the puerperium",2395.214539,
Female,2015,Total,Cancers,Neoplasms,903814.8051,Neoplasms
Female,2015,Total,Other,"Pregnancy, childbirth and the puerperium",2310.382759,
Female,2019,Total,Cancers,Neoplasms,777446.1262,Neoplasms
Female,2019,Total,Other,"Pregnancy, childbirth and the puerperium",2192.0449,
Female,2000,Total,Cancers,Malignant neoplasms of liver,29789.15319,Malignant neoplasms of liver
Female,2001,Total,Cancers,Malignant neoplasms of liver,30458.31392,Malignant neoplasms of liver
Female,2002,Total,Cancers,Malignant neoplasms of liver,31236.68399,Malignant neoplasms of liver
Female,2003,Total,Cancers,Malignant neoplasms of liver,32481.99905,Malignant neoplasms of liver
Female,2004,Total,Cancers,Malignant neoplasms of liver,32573.60465,Malignant neoplasms of liver
Female,2006,Total,Cancers,Malignant neoplasms of liver,32354.66655,Malignant neoplasms of liver
Female,2007,Total,Cancers,Malignant neoplasms of liver,31931.44689,Malignant neoplasms of liver
Female,2008,Total,Cancers,Malignant neoplasms of liver,32448.13464,Malignant neoplasms of liver
Female,2009,Total,Cancers,Malignant neoplasms of liver,33460.93131,Malignant neoplasms of liver
Female,2010,Total,Cancers,Malignant neoplasms of liver,33919.42295,Malignant neoplasms of liver
Female,2011,Total,Cancers,Malignant neoplasms of liver,33388.01994,Malignant neoplasms of liver
Female,2012,Total,Cancers,Malignant neoplasms of liver,33955.77628,Malignant neoplasms of liver
Female,2013,Total,Cancers,Malignant neoplasms of liver,34350.45212,Malignant neoplasms of liver
Female,2014,Total,Cancers,Malignant neoplasms of liver,34717.34096,Malignant neoplasms of liver
Female,2015,Total,Cancers,Malignant neoplasms of liver,34162.21305,Malignant neoplasms of liver
Female,2016,Total,Cancers,Malignant neoplasms of liver,34602.73261,Malignant neoplasms of liver
Female,2017,Total,Cancers,Malignant neoplasms of liver,32825.78252,Malignant neoplasms of liver
Female,2018,Total,Cancers,Malignant neoplasms of liver,28650.86206,Malignant neoplasms of liver
Female,2019,Total,Cancers,Malignant neoplasms of liver,29028.25433,Malignant neoplasms of liver
Female,2020,Total,Cancers,Malignant neoplasms of liver,26709.71716,Malignant neoplasms of liver
Female,2021,Total,Cancers,Malignant neoplasms of liver,2081.331944,Malignant neoplasms of liver
Male,2000,Total,Other,HIV-AIDS,17131.00181,
Male,2001,Total,Other,HIV-AIDS,16967.56834,
Male,2002,Total,Other,HIV-AIDS,16912.47088,
Male,2003,Total,Other,HIV-AIDS,16947.88102,
Male,2004,Total,Other,HIV-AIDS,15784.5495,
Male,2005,Total,Other,HIV-AIDS,15611.69911,
Male,2006,Total,Other,HIV-AIDS,15168.0871,
Male,2007,Total,Other,HIV-AIDS,15347.93125,
Male,2008,Total,Other,HIV-AIDS,14465.5467,
Male,2009,Total,Other,HIV-AIDS,13729.8921,
Male,2010,Total,Other,HIV-AIDS,13314.41855,
Male,2011,Total,Other,HIV-AIDS,12463.6995,
Male,2012,Total,Other,HIV-AIDS,12049.34622,
Male,2013,Total,Other,HIV-AIDS,11997.1458,
Male,2014,Total,Other,HIV-AIDS,11477.58836,
Male,2015,Total,Other,HIV-AIDS,11311.42155,
Male,2016,Total,Other,HIV-AIDS,10943.71577,
Male,2017,Total,Other,HIV-AIDS,10300.00235,
Male,2018,Total,Other,HIV-AIDS,10020.03334,
Male,2019,Total,Other,HIV-AIDS,9933.973181,
Male,2020,Total,Other,HIV-AIDS,8928.846627,
Male,2021,Total,Other,HIV-AIDS,316.007803,
Female,2000,Total,Cognitive Disorders,Parkinson's disease,15365.83433,
Female,2000,Total,External Causes,Transport Accidents,35569.81688,
Female,2001,Total,Cognitive Disorders,Parkinson's disease,17298.82476,
Female,2001,Total,External Causes,Transport Accidents,34939.98621,
Female,2002,Total,Cognitive Disorders,Parkinson's disease,18388.86571,
Female,2002,Total,External Causes,Transport Accidents,34720.9,
Female,2003,Total,Cognitive Disorders,Parkinson's disease,19510.50661,
Female,2003,Total,External Causes,Transport Accidents,33621.37019,
Female,2004,Total,Cognitive Disorders,Parkinson's disease,18044.13261,
Female,2004,Total,External Causes,Transport Accidents,31965.84253,
Female,2005,Total,Cognitive Disorders,Parkinson's disease,19308.35463,
Female,2005,Total,External Causes,Transport Accidents,30775.79055,
Female,2006,Total,Cognitive Disorders,Parkinson's disease,19425.89037,
Female,2006,Total,External Causes,Transport Accidents,30215.05669,
Female,2007,Total,Cognitive Disorders,Parkinson's disease,19808.84702,
Female,2007,Total,External Causes,Transport Accidents,28632.18206,
Female,2008,Total,Cognitive Disorders,Parkinson's disease,20582.05348,
Female,2008,Total,External Causes,Transport Accidents,26980.60458,
Female,2009,Total,Cognitive Disorders,Parkinson's disease,20974.54524,
Female,2009,Total,External Causes,Transport Accidents,26435.27822,
Female,2010,Total,Cognitive Disorders,Parkinson's disease,22344.17488,
Female,2010,Total,External Causes,Transport Accidents,25550.96705,
Female,2011,Total,Cognitive Disorders,Parkinson's disease,22586.84555,
Female,2011,Total,External Causes,Transport Accidents,24366.29232,
Female,2012,Total,Cognitive Disorders,Parkinson's disease,24025.8959,
Female,2012,Total,External Causes,Transport Accidents,24369.35094,
Female,2000,Total,Other,HIV-AIDS,4682.351145,
Female,2000,Total,Diseases of the Circulatory System,Ischaemic heart diseases,576279.3433,
Female,2000,Total,Cognitive Disorders,Alzheimer's disease,46523.10796,
Female,2013,Total,Cognitive Disorders,Parkinson's disease,24658.78876,
Female,2013,Total,External Causes,Transport Accidents,23718.54172,
Female,2001,Total,Other,HIV-AIDS,4745.07436,
Female,2001,Total,Diseases of the Circulatory System,Ischaemic heart diseases,597566.8028,
Female,2001,Total,Cognitive Disorders,Alzheimer's disease,52725.84858,
Female,2014,Total,Cognitive Disorders,Parkinson's disease,25492.89731,
Female,2014,Total,External Causes,Transport Accidents,23244.5962,
Female,2002,Total,Other,HIV-AIDS,4712.077735,
Female,2002,Total,Diseases of the Circulatory System,Ischaemic heart diseases,588532.3762,
Female,2002,Total,Cognitive Disorders,Alzheimer's disease,58719.34733,
Female,2003,Total,Other,HIV-AIDS,5013.721081,
Female,2003,Total,Diseases of the Circulatory System,Ischaemic heart diseases,584386.7599,
Female,2003,Total,Cognitive Disorders,Alzheimer's disease,66695.28708,
Female,2016,Total,Cognitive Disorders,Parkinson's disease,28006.1628,
Female,2016,Total,External Causes,Transport Accidents,24116.0201,
Female,2004,Total,Other,HIV-AIDS,4831.656543,
Female,2004,Total,Diseases of the Circulatory System,Ischaemic heart diseases,546696.1158,
Female,2004,Total,Cognitive Disorders,Alzheimer's disease,66241.32185,
Female,2017,Total,Cognitive Disorders,Parkinson's disease,29258.17593,
Female,2017,Total,External Causes,Transport Accidents,21972.11136,
Female,2005,Total,Other,HIV-AIDS,4621.529387,
Female,2005,Total,Diseases of the Circulatory System,Ischaemic heart diseases,529158.9447,
Female,2018,Total,Cognitive Disorders,Parkinson's disease,26075.18442,
Female,2018,Total,External Causes,Transport Accidents,20548.52365,
Female,2006,Total,Other,HIV-AIDS,4652.461245,
Female,2006,Total,Diseases of the Circulatory System,Ischaemic heart diseases,509285.964,
Female,2019,Total,Cognitive Disorders,Parkinson's disease,25875.58271,
Female,2019,Total,External Causes,Transport Accidents,20531.6991,
Female,2007,Total,Other,HIV-AIDS,4734.335388,
Female,2007,Total,Diseases of the Circulatory System,Ischaemic heart diseases,493644.3916,
Female,2020,Total,Cognitive Disorders,Parkinson's disease,25667.99079,
Female,2020,Total,External Causes,Transport Accidents,17387.69832,
Female,2008,Total,Other,HIV-AIDS,4524.685213,
Female,2008,Total,Diseases of the Circulatory System,Ischaemic heart diseases,480690.7291,
Female,2009,Total,Other,HIV-AIDS,4251.924269,
Female,2009,Total,Diseases of the Circulatory System,Ischaemic heart diseases,485667.7685,
Female,2010,Total,Other,HIV-AIDS,3945.760578,
Female,2010,Total,Diseases of the Circulatory System,Ischaemic heart diseases,481533.5827,
Female,2011,Total,Other,HIV-AIDS,3865.790562,
Female,2011,Total,Diseases of the Circulatory System,Ischaemic heart diseases,452303.2874,
Female,2012,Total,Other,HIV-AIDS,3646.322778,
Female,2012,Total,Diseases of the Circulatory System,Ischaemic heart diseases,452086.3764,
Female,2013,Total,Other,HIV-AIDS,3449.298411,
Female,2013,Total,Diseases of the Circulatory System,Ischaemic heart diseases,453622.0835,
Female,2014,Total,Other,HIV-AIDS,3443.684173,
Female,2014,Total,Diseases of the Circulatory System,Ischaemic heart diseases,449845.786,
Female,2015,Total,Other,HIV-AIDS,3236.990715,
Female,2015,Total,Diseases of the Circulatory System,Ischaemic heart diseases,442993.107,
Female,2016,Total,Other,HIV-AIDS,3031.468611,
Female,2016,Total,Diseases of the Circulatory System,Ischaemic heart diseases,436452.8215,
Female,2017,Total,Other,HIV-AIDS,2917.757675,
Female,2017,Total,Diseases of the Circulatory System,Ischaemic heart diseases,396927.1233,
Female,2018,Total,Other,HIV-AIDS,2834.519155,
Female,2018,Total,Diseases of the Circulatory System,Ischaemic heart diseases,364955.4717,
Female,2019,Total,Other,HIV-AIDS,2714.530229,
Female,2019,Total,Diseases of the Circulatory System,Ischaemic heart diseases,387399.0108,
Female,2020,Total,Other,HIV-AIDS,2502.946361,
Female,2020,Total,Diseases of the Circulatory System,Ischaemic heart diseases,368755.4478,
Male,2000,Total,Cognitive Disorders,Dementia,45554.84357,
Male,2001,Total,Cognitive Disorders,Dementia,53508.79603,
Male,2002,Total,Cognitive Disorders,Dementia,55685.3296,
Male,2003,Total,Cognitive Disorders,Dementia,56504.57012,
Male,2004,Total,Cognitive Disorders,Dementia,54357.19109,
Male,2005,Total,Cognitive Disorders,Dementia,57706.06758,
Male,2006,Total,Cognitive Disorders,Dementia,70362.06665,
Male,2007,Total,Cognitive Disorders,Dementia,73610.62771,
Male,2020,Total,External Causes,Accidental poisoning,61829.7284,
Male,2008,Total,Cognitive Disorders,Dementia,83015.67073,
Male,2009,Total,Cognitive Disorders,Dementia,86849.90185,
Male,2010,Total,Cognitive Disorders,Dementia,93633.59108,
Male,2011,Total,Cognitive Disorders,Dementia,104616.0937,
Male,2012,Total,Cognitive Disorders,Dementia,115354.7157,
Male,2013,Total,Cognitive Disorders,Dementia,121751.0208,
Male,2014,Total,Cognitive Disorders,Dementia,121638.3959,
Male,2015,Total,Cognitive Disorders,Dementia,122790.8056,
Male,2016,Total,Cognitive Disorders,Dementia,120619.3304,
Male,2017,Total,Cognitive Disorders,Dementia,122472.6873,
Male,2018,Total,Cognitive Disorders,Dementia,116664.1006,
Male,2019,Total,Cognitive Disorders,Dementia,111630.9774,
Male,2020,Total,Cognitive Disorders,Dementia,99879.17967,
Total,2000,Total,External Causes,External causes of mortality,532141.6426,
Total,2001,Total,External Causes,External causes of mortality,552629.1668,
Total,2002,Total,External Causes,External causes of mortality,555638.3404,
Total,2003,Total,External Causes,External causes of mortality,555741.5627,
Total,2004,Total,External Causes,External causes of mortality,541723.1252,
Total,2005,Total,External Causes,External causes of mortality,539481.0627,
Total,2006,Total,External Causes,External causes of mortality,540768.9187,
Total,2007,Total,External Causes,External causes of mortality,538471.2631,
Total,2008,Total,External Causes,External causes of mortality,542289.3726,
Total,2009,Total,External Causes,External causes of mortality,555648.8686,
Total,2010,Total,External Causes,External causes of mortality,559457.4187,
Total,2011,Total,External Causes,External causes of mortality,568573.1821,
Total,2012,Total,External Causes,External causes of mortality,552631.9866,
Total,2013,Total,External Causes,External causes of mortality,553481.1012,
Total,2014,Total,External Causes,External causes of mortality,553638.6738,
Total,2015,Total,External Causes,External causes of mortality,559804.5884,
Total,2016,Total,External Causes,External causes of mortality,580200.3878,
Total,2017,Total,External Causes,External causes of mortality,571478.4675,
Total,2018,Total,External Causes,External causes of mortality,532236.3521,
Total,2019,Total,External Causes,External causes of mortality,539736.373,
Male,2000,Total,Total,Total,5468996.278,
Male,2000,Total,Cancers,Neoplasms,1387241.057,Neoplasms
Male,2001,Total,Total,Total,5686307.213,
Male,2001,Total,Cancers,Neoplasms,1461704.38,Neoplasms
Male,2002,Total,Total,Total,5673305.307,
Male,2002,Total,Cancers,Neoplasms,1458254.931,Neoplasms
Male,2003,Total,Total,Total,5696565.684,
Male,2003,Total,Cancers,Neoplasms,1453682.756,Neoplasms
Male,2004,Total,Total,Total,5462498.579,
Male,2004,Total,Cancers,Neoplasms,1429100.353,Neoplasms
Male,2005,Total,Total,Total,5360677.274,
Male,2005,Total,Cancers,Neoplasms,1389417.129,Neoplasms
Male,2006,Total,Total,Total,5343281.97,
Male,2006,Total,Cancers,Neoplasms,1405825.433,Neoplasms
Male,2007,Total,Total,Total,5368009.596,
Male,2007,Total,Cancers,Neoplasms,1416844.82,Neoplasms
Male,2008,Total,Total,Total,5342779.543,
Male,2008,Total,Cancers,Neoplasms,1408437.959,Neoplasms
Male,2009,Total,Total,Total,5568875.376,
Male,2009,Total,Cancers,Neoplasms,1459340.121,Neoplasms
Male,2010,Total,Total,Total,5548538.178,
Male,2010,Total,Cancers,Neoplasms,1458265.1,Neoplasms
Male,2011,Total,Total,Total,5455813.511,
Male,2011,Total,Cancers,Neoplasms,1434164.945,Neoplasms
Male,2012,Total,Total,Total,5491042.42,
Male,2012,Total,Cancers,Neoplasms,1434950.039,Neoplasms
Male,2013,Total,Total,Total,5494918.474,
Male,2013,Total,Cancers,Neoplasms,1429100.785,Neoplasms
Male,2014,Total,Total,Total,5437732.492,
Male,2014,Total,Cancers,Neoplasms,1418915.29,Neoplasms
Male,2015,Total,Total,Total,5507139.825,
Male,2015,Total,Cancers,Neoplasms,1398613.702,Neoplasms
Male,2016,Total,Total,Total,5470453.478,
Male,2016,Total,Cancers,Neoplasms,1392774.52,Neoplasms
Male,2017,Total,Total,Total,5004490.27,
Male,2017,Total,Cancers,Neoplasms,1264724.576,Neoplasms
Male,2018,Total,Total,Total,4642396.766,
Male,2018,Total,Cancers,Neoplasms,1125649.918,Neoplasms
Male,2019,Total,Total,Total,4867989.82,
Male,2019,Total,Cancers,Neoplasms,1159358.393,Neoplasms
Female,2000,Total,Other,Diseases of the blood and blood-forming organs,16097.08575,
Male,2020,Total,Total,Total,5058487.133,
Male,2020,Total,Cancers,Neoplasms,1011228.454,Neoplasms
Female,2001,Total,Other,Diseases of the blood and blood-forming organs,16709.70841,
Female,2002,Total,Other,Diseases of the blood and blood-forming organs,16825.29761,
Female,2003,Total,Other,Diseases of the blood and blood-forming organs,16834.20316,
Female,2004,Total,Other,Diseases of the blood and blood-forming organs,16548.35139,
Female,2005,Total,Other,Diseases of the blood and blood-forming organs,16873.35372,
Female,2006,Total,Other,Diseases of the blood and blood-forming organs,15677.17416,
Female,2005,Total,Cognitive Disorders,Alzheimer's disease,69853.15251,
Female,2007,Total,Other,Diseases of the blood and blood-forming organs,16135.15898,
Female,2006,Total,Cognitive Disorders,Alzheimer's disease,71534.75243,
Female,2008,Total,Other,Diseases of the blood and blood-forming organs,16405.57291,
